,time,Pload,Ppv,Pcharge,Pdischarge,Ptotal,state of charge,energy_charge_with_es,nem_charge_with_es,demand_charge_with_es,total_bill_with_es,energy_charge_without_es,nem_charge_without_es,demand_charge_without_es,total_bill_without_es
294,294,309.35316295,0.0,16.9121490494122,0.0,326.26531199941223,352.150469912939,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
295,295,382.770379292,0.0,0.0,56.5050672925877,326.2653119994123,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
296,296,325.764393399,0.39707200000000004,0.0,0.0,325.36732139900005,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
297,297,309.948951879,5.1959740000000005,0.0,0.0,304.752977879,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
298,298,263.132922827,11.271881,0.0,0.0,251.861041827,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
299,299,263.017143434,16.473941,0.0,0.0,246.543202434,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
300,300,261.873394824,19.141137,0.0,0.0,242.732257824,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
301,301,251.744595105,15.794373,0.0,0.0,235.950222105,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
302,302,239.964291945,15.241392,0.0,0.0,224.72289994500002,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
303,303,229.554098377,9.975557,0.0,0.0,219.578541377,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
304,304,251.40711336599998,6.112462000000001,0.0,0.0,245.29465136599998,295.645402620351,19986.732752647735,0.0,5827.098472309498,25813.831224957234,19890.218094580843,0.0,7551.766789106239,27441.98488368708
