Node ID,Node Name,Zone ID,Reserve ID
47076,LD.ENFIELD 23,4004,7002
445,UN.ENFLD_ME115 IND5,4001,7000
410,UN.ESSEX   34.5ESSH,4003,7000
426,UN.ESSEX   34.5GORD,4003,7000
1221,UN.ESSEX   34.5ESSD,4003,7000
2434,UN.ESSEX   34.5GORG,4003,7000
4451,LD.ESSEX   34.5,4003,7000
4335,LD.EVERETT 23,4008,7003
47733,LD.EVERETT 13.8,4008,7003
412,UN.FALSVL  69  FALS,4004,7002
4616,LD.FALSVL  69,4004,7002
1030,UN.FALMOUTH25  OAKB,4006,7000
1031,UN.FALMOUTH25  WTIS,4006,7000
16248,LD.FALMOUTH25,4006,7000
4542,LD.FRMNGTON23,4004,7002
4289,LD.FARNPIKE12.5,4005,7000
4221,LD.FARNUM  23,4005,7000
4841,LD.FIELD_ST23  517-532,4006,7000
4842,LD.FIELD_ST23  517-533,4006,7000
47661,LD.FIELD_ST13.8517-533,4006,7000
47948,LD.FIELD_ST13.8517-532,4006,7000
4244,LD.FISHR_RD13.2,4006,7000
43591,LD.FITCH   27.6,4004,7001
4361,LD.FITCH_RD69,4007,7000
4801,LD.5CORNRS 13.2T1 LD,4007,7000
4802,LD.5CORNRS 13.2T2 LD,4007,7000
538,UN.FLAGG_PD13.8PINE,4007,7000
4222,LD.FLAGG_PD69,4007,7000
4845,LD.FLANDERS23,4004,7002
4610,LD.FLAX_HL 13.8,4004,7001
16328,LD.FLAX_HL 27.6,4004,7001
4312,LD.FLORENCE13.8,4007,7000
541,UN.FLORNCE 46  PROC,4003,7000
2430,UN.FLORNCE 46  BLDN,4003,7000
2432,UN.FLORNCE 46  HNTG,4003,7000
4461,LD.FLORNCE 46,4003,7000
10846,LD.FRIVR_ME12.5,4001,7000
356,UN.FORESTVL13.8BRF,4004,7002
4572,LD.FORESTVL13.8,4004,7002
4474,LD.FORT_HIL34.5,4004,7002
417,UN.FRAMNGHM13.8FMJ1,4008,7003
418,UN.FRAMNGHM13.8FMJ2,4008,7003
419,UN.FRAMNGHM13.8FMJ3,4008,7003
4088,LD.FRAMNGHM13.8,4008,7003
4531,LD.FRNCONIA13.8,4007,7000
420,UN.FRNKLNDR13.2FRDR,4004,7002
4567,LD.FRNKLNDR13.2,4004,7002
321,UN.FRNKLNSQ13.810CC,4005,7000
322,UN.FRNKLNSQ13.811CC,4005,7000
323,UN.FRNKLNSQ13.89CC,4005,7000
4301,LD.FRNKLNSQ11.5,4005,7000
10813,LD.FRNKLNSQ12.5,4005,7000
4581,LD.FREIGHT 13.8,4004,7001
4511,LD.FRENCHKG13.8,4007,7000
4847,LD.FRYBROOK23.0,4004,7002
4495,LD.GALE_FRY69,4004,7002
768,UN.GARVINS 34.5GARV,4002,7000
4395,LD.GARVINS 34.5,4002,7000
4337,LD.GE_RIVER13.8,4008,7003
4849,LD.GE_CO_14115 1X LD,4007,7000
4850,LD.GE_CO_14115 2X LD,4007,7000
46680,LD.GEORGIA 34.5,4003,7000
4602,LD.GLENBROK13.2,4004,7001
10344,LD.GOLDN_RK23,4008,7003
39990,LD.GOOSEFAR12,4001,7000
4078,LD.GRAHAM  46,4001,7000
16296,UN.GRAHAM  46  MLFH,4001,7000
40338,UN.GRAHAM  18.0MS1A,4001,7000
40339,UN.GRAHAM  18.0MS1B,4001,7000
48120,UN.GR_RIDGE16  GR1A,4002,7000
48121,UN.GR_RIDGE16  GR1B,4002,7000
10038,LD.GREATBAY34.5,4002,7000
4553,LD.GREEN_HL23,4004,7002
4372,LD.GREENDAL13.8,4007,7000
4397,LD.GREGGS  34.5,4002,7000
4150,LD.GUILFORD34.5,4001,7000
328,UN.GULFISLD34.5GULF,4001,7000
4162,LD.GULFISLD34.5,4001,7000
4517,LD.GUNN    23,4007,7000
4551,LD.HADDAM  23,4004,7002
6418,LD.HALVARSN345 SMDINTLD,4004,7002
4851,LD.HANOVER 23  1690 LD,4004,7001
4852,LD.HANOVER 23  1355 LD,4004,7001
47755,LD.HANOVER 13.81690 LD,4004,7001
47949,LD.HANOVER 13.81355 LD,4004,7001
435,UN.HARRIMAN6.9 HARR,4007,7000
4309,LD.HARRIMAN6.9,4007,7000
4083,LD.HARRINGT34.5,4001,7000
38115,UN.HARRNGTN13.2HARS,4007,7000
432,UN.HARRIS  13.2HAR1,4001,7000
433,UN.HARRIS  13.2HAR2,4001,7000
434,UN.HARRIS  13.2HAR3,4001,7000
757,UN.HARRIS  13.2HAR4,4001,7000
4155,LD.HARRIS  13.2,4001,7000
47382,LD.HARRISON13.8,4006,7000
4463,LD.HARTFDVT46,4003,7000
4151,LD.HARTLAND12.5,4001,7000
49324,UN.HARTLAND12.5PITS,4001,7000
4107,LD.HARTWELL13.8,4008,7003
16251,LD.HARWICH 23,4006,7000
4226,LD.HATCHVIL23,4006,7000
4213,LD.HATHAWAY13.8,4006,7000
47754,LD.HATHAWAY23,4006,7000
4854,LD.HAWKINS 13.8110A LD,4008,7003
4856,LD.HAWKINS 13.8110B LD,4008,7003
4437,LD.HAWTHORN13.8,4004,7001
4858,LD.HIGH_ST 14.4510 LD,4008,7003
4859,LD.HIGH_ST 14.4511 LD,4008,7003
565,UN.HIGHGATE46  SHEL,4003,7000
783,UN.HIGHGATE46  HGFA,4003,7000
4448,LD.HIGHGATE46,4003,7000
12510,UN.HIGHGATE13.8SWC1,4003,7000
12511,UN.HIGHGATE13.8SWC2,4003,7000
4143,LD.HIGHLAND34.5,4001,7000
46608,LD.HILND_PK13.8,4005,7000
4183,LD.HNKLY_PD12.5,4001,7000
4862,LD.HOBRT_ST13.81X LD,4006,7000
4863,LD.HOBRT_ST13.82X LD,4006,7000
42368,LD.HOLLISTN13.8,4008,7003
4486,LD.HOLYOKE 13.8,4007,7000
12529,UN.HOOSAC  69  HOSW,4007,7000
49029,UN.HOPE    23  HOPS,4005,7000
49030,UN.HOPE    23  SCTS,4005,7000
