,month,day,hour,insolation_pu
5148,8,3,12,0.639161230970451
5149,8,3,13,0.585111571099784
5150,8,3,14,0.47592163642748836
5151,8,3,15,0.36623706309901777
5152,8,3,16,0.248892857350729
5153,8,3,17,0.12759937910025532
5154,8,3,18,0.026728989945831453
5155,8,3,19,0.0
5156,8,3,20,0.0
5157,8,3,21,0.0
5158,8,3,22,0.0
5159,8,3,23,0.0
5160,8,3,24,0.0
5161,8,4,1,0.0
5162,8,4,2,0.0
5163,8,4,3,0.0
5164,8,4,4,0.0
5165,8,4,5,0.016157424512571086
5166,8,4,6,0.1163749641822494
5167,8,4,7,0.2655713089375639
5168,8,4,8,0.43484961845694536
5169,8,4,9,0.5497408924480159
5170,8,4,10,0.626688857666879
5171,8,4,11,0.6415035351280536
5172,8,4,12,0.6273906393658991
5173,8,4,13,0.6097013772860393
5174,8,4,14,0.5668065523604383
5175,8,4,15,0.4629922864656086
5176,8,4,16,0.3317971079867551
5177,8,4,17,0.16632259552081854
5178,8,4,18,0.03366200569418613
5179,8,4,19,0.0
5180,8,4,20,0.0
5181,8,4,21,0.0
5182,8,4,22,0.0
5183,8,4,23,0.0
5184,8,4,24,0.0
5185,8,5,1,0.0
5186,8,5,2,0.0
5187,8,5,3,0.0
5188,8,5,4,0.0
5189,8,5,5,0.016288145450563247
5190,8,5,6,0.11449913171588869
5191,8,5,7,0.24766336657880625
5192,8,5,8,0.382627001733735
5193,8,5,9,0.4721931849035292
5194,8,5,10,0.5216661162992017
5195,8,5,11,0.5700596960934255
5196,8,5,12,0.5771200751462543
5197,8,5,13,0.5643538438221025
5198,8,5,14,0.5172997679581138
5199,8,5,15,0.41623994874976866
5200,8,5,16,0.2867014944491856
5201,8,5,17,0.1424119297219735
5202,8,5,18,0.028639076258951724
5203,8,5,19,0.0
5204,8,5,20,0.0
5205,8,5,21,0.0
5206,8,5,22,0.0
5207,8,5,23,0.0
5208,8,5,24,0.0
5209,8,6,1,0.0
5210,8,6,2,0.0
5211,8,6,3,0.0
5212,8,6,4,0.0
5213,8,6,5,0.01467057244971506
5214,8,6,6,0.1092997700463202
5215,8,6,7,0.24568689893779574
5216,8,6,8,0.3733419169644163
5217,8,6,9,0.49582001879584614
5218,8,6,10,0.5830654872788401
5219,8,6,11,0.6242303120499552
5220,8,6,12,0.6240077982714213
5221,8,6,13,0.6122617487160847
5222,8,6,14,0.5580694363368229
5223,8,6,15,0.4416076011960696
5224,8,6,16,0.2925925056717772
5225,8,6,17,0.1412353041516396
5226,8,6,18,0.027827761001790092
5227,8,6,19,0.0
5228,8,6,20,0.0
5229,8,6,21,0.0
5230,8,6,22,0.0
5231,8,6,23,0.0
5232,8,6,24,0.0
5233,8,7,1,0.0
5234,8,7,2,0.0
5235,8,7,3,0.0
5236,8,7,4,0.0
5237,8,7,5,0.012297997999836182
5238,8,7,6,0.10169427709722083
5239,8,7,7,0.20995535938303111
5240,8,7,8,0.2943186595559579
5241,8,7,9,0.3641879238934846
5242,8,7,10,0.42803888553556546
5243,8,7,11,0.49607182363040797
5244,8,7,12,0.526917118491728
5245,8,7,13,0.5127598811549469
5246,8,7,14,0.47353751607456124
5247,8,7,15,0.3663671095913673
5248,8,7,16,0.2537428560441834
5249,8,7,17,0.12613783216282498
5250,8,7,18,0.023936084514387168
5251,8,7,19,0.0
5252,8,7,20,0.0
5253,8,7,21,0.0
5254,8,7,22,0.0
5255,8,7,23,0.0
5256,8,7,24,0.0
5257,8,8,1,0.0
5258,8,8,2,0.0
5259,8,8,3,0.0
5260,8,8,4,0.0
5261,8,8,5,0.011144546007917857
5262,8,8,6,0.09585273720613077
5263,8,8,7,0.21997701712597834
5264,8,8,8,0.3298841931801762
5265,8,8,9,0.41567749730064524
5266,8,8,10,0.4504704950442822
5267,8,8,11,0.46655926336400294
5268,8,8,12,0.48644766975992343
5269,8,8,13,0.5018962051924624
5270,8,8,14,0.4783967056764539
5271,8,8,15,0.39042218583512134
5272,8,8,16,0.26458640192223426
5273,8,8,17,0.12910646009722307
5274,8,8,18,0.022194538972236028
5275,8,8,19,0.0
5276,8,8,20,0.0
5277,8,8,21,0.0
5278,8,8,22,0.0
5279,8,8,23,0.0
5280,8,8,24,0.0
5281,8,9,1,0.0
5282,8,9,2,0.0
5283,8,9,3,0.0
5284,8,9,4,0.0
5285,8,9,5,0.010845023086044306
5286,8,9,6,0.11646749880584775
5287,8,9,7,0.2639959926176871
5288,8,9,8,0.4088914783212556
5289,8,9,9,0.5148193024548733
5290,8,9,10,0.5738286876019492
5291,8,9,11,0.5927284010785806
5292,8,9,12,0.6029692277910415
5293,8,9,13,0.5891726057744863
5294,8,9,14,0.5417349005017794
5295,8,9,15,0.4452457749694395
5296,8,9,16,0.3043080743437078
5297,8,9,17,0.14703471578735328
5298,8,9,18,0.024475055478051535
5299,8,9,19,0.0
5300,8,9,20,0.0
5301,8,9,21,0.0
5302,8,9,22,0.0
5303,8,9,23,0.0
5304,8,9,24,0.0
5305,8,10,1,0.0
5306,8,10,2,0.0
5307,8,10,3,0.0
5308,8,10,4,0.0
5309,8,10,5,0.01166941531126115
5310,8,10,6,0.1331091282030346
5311,8,10,7,0.3091671706537555
5312,8,10,8,0.4579166624756103
5313,8,10,9,0.5817150626472433
5314,8,10,10,0.6821560519718336
5315,8,10,11,0.7217997755756368
5316,8,10,12,0.723176067261624
5317,8,10,13,0.685648312414937
5318,8,10,14,0.5999970161464483
5319,8,10,15,0.48181129428853303
5320,8,10,16,0.3174267941635655
5321,8,10,17,0.14852324721531107
